Periodo,Regiao ,Instituicao,No Total de Partos,No Cesarianas
2013-01,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",140,42
2013-01,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",65,24
2013-01,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",142,44
2013-01,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",143,53
2013-01,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",150,41
2013-01,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-01,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-02,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",151,60
2014-02,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",89,36
2014-02,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",270,63
2014-01,Regiao de Saude Norte,"Centro Hospitalar do Alto Ave, EPE",170,57
2014-02,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",385,93
2014-02,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",159,44
2014-01,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",165,38
2014-01,Regiao de Saude Norte,"Hospital de Braga, PPP",213,73
2014-02,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2014-01,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2014-04,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",312,123
2014-03,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",386,95
2014-03,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",310,95
2014-03,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",356,89
2014-04,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2014-03,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2014-04,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2014-03,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2014-03,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-03,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",117,37
2014-02,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",203,70
2014-03,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",125,39
2014-03,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",516,144
2014-02,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",377,108
2014-03,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",594,159
2014-03,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",250,67
2014-02,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",401,131
2014-03,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2014-03,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2014-04,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",414,121
2014-04,Regiao de Saude Norte,"Centro Hospitalar do Alto Ave, EPE",595,202
2014-04,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",499,140
2014-04,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-04,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2014-04,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2014-04,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-10,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1340,322
